constituency,ac_number,candidate,party,votes,turnout,reserved,region
Vaniayambadi,47,R.Sekar,All India Youth Development Party,179,75.55,GEN,North
Vaniayambadi,47,SYED MOHAMMED SALEEM,IND,133,75.55,GEN,North
Ambur,48,VILWANATHAN.A.C,DMK,90476,74.01,GEN,North
Ambur,48,NAZAR MOHAMED.K,AIADMK,70244,74.01,GEN,North
Ambur,48,MAHARUNNISHA,NTK,10150,74.01,GEN,North
Ambur,48,UMAR FAROOK.ASA,SDPI,1793,74.01,GEN,North
Ambur,48,RAJA.S,MNM,1638,74.01,GEN,North
Ambur,48,None Of The Above,NOTA,1417,74.01,GEN,North
Ambur,48,WAZEER AHMED.J,BSP,681,74.01,GEN,North
Ambur,48,MANI.S.P,All Pensioner’s Party,363,74.01,GEN,North
Ambur,48,ASHOK KUMAR.C,Anaithu Makkal Puratchi Katchi,319,74.01,GEN,North
Ambur,48,RAJINIKANTH.P,IND,253,74.01,GEN,North
Ambur,48,MURUGAN.L,IND,201,74.01,GEN,North
Ambur,48,GEORGE.V.A.,IND,160,74.01,GEN,North
Ambur,48,PARTHIBAN.V,All India Youth Development Party,101,74.01,GEN,North
Ambur,48,KAREEM BASHA.A,Rashtriya Ulama Council,82,74.01,GEN,North
Jolarpet,49,DEVARAJI.K.,DMK,89490,80.98,GEN,North
Jolarpet,49,VEERAMANI.K.C.,AIADMK,88399,80.98,GEN,North
Jolarpet,49,SIVA.A.,NTK,13328,80.98,GEN,North
Jolarpet,49,None Of The Above,NOTA,1337,80.98,GEN,North
Jolarpet,49,KARUNANIDHI.R.,IND,1067,80.98,GEN,North
Jolarpet,49,KALASTHRI.S.,All India Uzhavargal Uzhaippalargal Katchi,870,80.98,GEN,North
Jolarpet,49,THENNARASU SAAMRAJ,AMMK,619,80.98,GEN,North
Jolarpet,49,SIVAKUMAR.V.C.,BSP,347,80.98,GEN,North
Jolarpet,49,VEERAMANI.S.,IND,217,80.98,GEN,North
Jolarpet,49,VEERAMANI.H.,IND,209,80.98,GEN,North
Jolarpet,49,VEERAMANI.A.,IND,148,80.98,GEN,North
Jolarpet,49,MANITHAN,IND,142,80.98,GEN,North
Jolarpet,49,DEVARAJI.R.,IND,103,80.98,GEN,North
Jolarpet,49,DEVARAJ.V.K.,IND,82,80.98,GEN,North
Tiruppattur,50,A. NALLATHAMBI,DMK,96522,76.97,GEN,North
Tiruppattur,50,T.K. RAJA,PMK,68282,76.97,GEN,North
Tiruppattur,50,M. SUMATHI,NTK,12127,76.97,GEN,North
Tiruppattur,50,A. GNANASEKAR,AMMK,2702,76.97,GEN,North
Tiruppattur,50,None Of The Above,NOTA,1632,76.97,GEN,North
Tiruppattur,50,B. VIJAYAKUMAR,IND,1096,76.97,GEN,North
Tiruppattur,50,S. KALASHTHRI,All India Uzhavargal Uzhaippalargal Katchi,724,76.97,GEN,North
Tiruppattur,50,S. SATHIYAMOORTHY,Makkal Nala Kazhagam,519,76.97,GEN,North
Tiruppattur,50,R. AROCKIA JOE PRABU,IND,438,76.97,GEN,North
Tiruppattur,50,R. PALANI,IND,362,76.97,GEN,North
Tiruppattur,50,M. NALLASIVAM,IND,323,76.97,GEN,North
Tiruppattur,50,MANITHAN,IND,309,76.97,GEN,North
Tiruppattur,50,I. GOVINDARAJI,IND,297,76.97,GEN,North
Tiruppattur,50,I. ROSELIN JEEVA,Samaniya Makkal Nala Katchi,264,76.97,GEN,North
Tiruppattur,50,G. RAJA,IND,205,76.97,GEN,North
Tiruppattur,50,A. JEYAMMA,Anaithu Makkal Puratchi Katchi,128,76.97,GEN,North
Uthangarai,51,T.M.TAMILSELVAM,AIADMK,99675,78.37,SC,North
Uthangarai,51,S.Arumugam,INC,71288,78.37,SC,North
Uthangarai,51,Elangovan,NTK,10424,78.37,SC,North
Uthangarai,51,R.Bakyaraj,DMDK,2291,78.37,SC,North
Uthangarai,51,None Of The Above,NOTA,1359,78.37,SC,North
Uthangarai,51,K.Murugesan,MNM,1254,78.37,SC,North
Uthangarai,51,NAGARAJ,BSP,722,78.37,SC,North
Uthangarai,51,C.Jayaraman,IND,322,78.37,SC,North
Uthangarai,51,R.Vivekanandhan,IND,283,78.37,SC,North
Uthangarai,51,S.Perumal,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,206,78.37,SC,North
Uthangarai,51,T.Tamilarasan,IND,181,78.37,SC,North
Uthangarai,51,R.Manjunathan,IND,114,78.37,SC,North
Uthangarai,51,M.Thenmozhi,IND,104,78.37,SC,North
Bargur,52,MATHIAZHAGAN D,DMK,97256,79.08,GEN,North
Bargur,52,KRISHNAN A,AIADMK,84642,79.08,GEN,North
Bargur,52,KARUNAKARAN K,NTK,10113,79.08,GEN,North
Bargur,52,None Of The Above,NOTA,1507,79.08,GEN,North
Bargur,52,GANESA KUMAR S,AMMK,1064,79.08,GEN,North
Bargur,52,NIRMALA A,NPP,710,79.08,GEN,North
Bargur,52,MANJUNATHAN M,IND,623,79.08,GEN,North
Bargur,52,MURALI M,BSP,443,79.08,GEN,North
Bargur,52,ARUN GOWTHAM R,IJK,345,79.08,GEN,North
Bargur,52,MANI K,IND,327,79.08,GEN,North
Bargur,52,SANTHAMOORTHI K,IND,223,79.08,GEN,North
Bargur,52,VASANTHARAJ P,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,184,79.08,GEN,North
Bargur,52,AANDI A,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,121,79.08,GEN,North
Bargur,52,KALPANA D,IND,119,79.08,GEN,North
Bargur,52,KRISHNAN A,IND,107,79.08,GEN,North
Krishnagiri,53,Ashokkumar.K,AIADMK,96050,78.5,GEN,North
Krishnagiri,53,SENGUTTUVAN.T,DMK,95256,78.5,GEN,North
Krishnagiri,53,NIRANDARI.V,NTK,11137,78.5,GEN,North
Krishnagiri,53,RAVISHANKAR.R.K,MNM,3455,78.5,GEN,North
Krishnagiri,53,None Of The Above,NOTA,1837,78.5,GEN,North
Krishnagiri,53,CHANDRAMOHAN.K.M,NCP,1088,78.5,GEN,North
Krishnagiri,53,AMEENULLA,AIMIM,858,78.5,GEN,North
Krishnagiri,53,TAMILSELVAN.S,BSP,488,78.5,GEN,North
Krishnagiri,53,SAKTHI.K,IND,418,78.5,GEN,North
Krishnagiri,53,SIVAN.C,IND,318,78.5,GEN,North
Krishnagiri,53,GOPINATH.M,IND,232,78.5,GEN,North
Krishnagiri,53,VIJAYAKUMAR.R,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,137,78.5,GEN,North
Krishnagiri,53,SASIKUMAR.K.S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,129,78.5,GEN,North
Krishnagiri,53,TVS GANDHI,IND,97,78.5,GEN,North
Krishnagiri,53,RUTHRAMANI.T,Desiya Makkal Sakthi Katchi,89,78.5,GEN,North
Krishnagiri,53,KUMARESAN.M,IND,59,78.5,GEN,North
Veppanahalli,54,K.P.Munusamy,AIADMK,94104,81.31,GEN,North
Veppanahalli,54,P.Murugan,DMK,91050,81.31,GEN,North
Veppanahalli,54,M.Sakthivel,NTK,8310,81.31,GEN,North
Veppanahalli,54,S.M.Murugesan,DMDK,3601,81.31,GEN,North
Veppanahalli,54,Abdul Azeez Amanullah,IND,3022,81.31,GEN,North
Veppanahalli,54,None Of The Above,NOTA,1662,81.31,GEN,North
Veppanahalli,54,P.Jayapal,MNM,672,81.31,GEN,North
Veppanahalli,54,Ramaswamy,IND,567,81.31,GEN,North
Veppanahalli,54,S.Thangapandiyan,Tamil Nadu Ilangyar Katchi,419,81.31,GEN,North
Veppanahalli,54,C.Chakkarlappa,IND,405,81.31,GEN,North
Veppanahalli,54,Lakshmanan Shanmugam,IND,378,81.31,GEN,North
Veppanahalli,54,K.P.U.UVARAJ,IND,285,81.31,GEN,North
Veppanahalli,54,M.Mariyappan,Puthiya Tamilagam,226,81.31,GEN,North
Veppanahalli,54,Krishnamoorthy,IND,155,81.31,GEN,North
Veppanahalli,54,Usha,IND,154,81.31,GEN,North
Veppanahalli,54,Valli,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,131,81.31,GEN,North
Hosur,55,PRAKAASH Y,DMK,118231,70.09,GEN,North
Hosur,55,JYOTHI S,AIADMK,105864,70.09,GEN,North
Hosur,55,GEETHA LAKSHMI S,NTK,11422,70.09,GEN,North
Hosur,55,MASOOD S,MNM,6563,70.09,GEN,North
Hosur,55,None Of The Above,NOTA,1976,70.09,GEN,North
Hosur,55,MAREGOWDU M,AMMK,806,70.09,GEN,North
Hosur,55,RAMASWAMY G C,IND,629,70.09,GEN,North
Hosur,55,MUTHU R K,IND,585,70.09,GEN,North
Hosur,55,EZHILAN S,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,462,70.09,GEN,North
Hosur,55,MUTHAMIZH MUDHALVAN S,IND,397,70.09,GEN,North
Hosur,55,LOKESH V,IND,361,70.09,GEN,North
Hosur,55,SELVAM G,New Generation People’s Party,145,70.09,GEN,North
Hosur,55,BALARAJU N,IND,132,70.09,GEN,North
Hosur,55,SUNDAR L,SHS,127,70.09,GEN,North
Hosur,55,SHANMUGAM R,IND,125,70.09,GEN,North
Hosur,55,DEVAPPA Y,IND,81,70.09,GEN,North
Hosur,55,GEETHA V,IND,73,70.09,GEN,North
Hosur,55,JAYASEELAN G,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,65,70.09,GEN,North
Hosur,55,KISHORE KUMAR R,IND,54,70.09,GEN,North
Thalli,56,RAMACHANDRAN.T,CPI,120641,77.06,GEN,North
Thalli,56,Dr.NAGESH KUMAR.C,BJP,64415,77.06,GEN,North
Thalli,56,MARY SELVARANI.R,NTK,3776,77.06,GEN,North
Thalli,56,None Of The Above,NOTA,1966,77.06,GEN,North
Thalli,56,ASHOK KUMAR.V,IJK,788,77.06,GEN,North
Thalli,56,VASANTHAMMA.N,IND,584,77.06,GEN,North
Thalli,56,KUMAR.M,IND,422,77.06,GEN,North
Thalli,56,RAVI MUNISWAMY,IND,353,77.06,GEN,North
Thalli,56,SEKAR.M.V,AMMK,346,77.06,GEN,North
Thalli,56,DEVAPPA@DEVAGOWDA.Y,IND,222,77.06,GEN,North
Thalli,56,USHA.M,New Generation People’s Party,209,77.06,GEN,North
Thalli,56,RAVI.G,SP,162,77.06,GEN,North
Thalli,56,JANAKI.G,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,138,77.06,GEN,North
Palacode,57,ANBALAGAN.K.P.,AIADMK,110070,87.37,GEN,North
Palacode,57,MURUGAN.P.K.,DMK,81970,87.37,GEN,North
Palacode,57,KALAISELVI.G.,NTK,7704,87.37,GEN,North
Palacode,57,VIJAYASANKAR.P.,DMDK,2409,87.37,GEN,North
Palacode,57,None Of The Above,NOTA,1351,87.37,GEN,North
Palacode,57,RAJASEKAR.D.,MNM,1176,87.37,GEN,North
Palacode,57,HARI.R.,BSP,585,87.37,GEN,North
Palacode,57,VADIVEL.M.,IND,465,87.37,GEN,North
Palacode,57,RAJKUMAR.T.,IND,406,87.37,GEN,North
Palacode,57,MURUGAN.K.G.,IND,169,87.37,GEN,North
Palacode,57,MURUGAN.K.,IND,120,87.37,GEN,North
Palacode,57,SHARAVANAN.M.P.,IND,90,87.37,GEN,North
Palacode,57,ANBARASU.D.,IND,80,87.37,GEN,North
Pennagaram,58,MANI. G.K,PMK,106123,85.0,GEN,North
Pennagaram,58,INBASEKARAN. P.N.P,DMK,84937,85.0,GEN,North
Pennagaram,58,TAMILAZHAGAN. R,NTK,8945,85.0,GEN,North
Pennagaram,58,UTHAYAKUMAR. R,DMDK,2921,85.0,GEN,North
Pennagaram,58,PERIYANANJAPPAN. A,IND,1968,85.0,GEN,North
Pennagaram,58,None Of The Above,NOTA,1759,85.0,GEN,North
Pennagaram,58,SHAKILA. K,MNM,1471,85.0,GEN,North
Pennagaram,58,THIRUMURUGAN. P,IND,451,85.0,GEN,North
Pennagaram,58,MUNUSAMY. S,IND,265,85.0,GEN,North
Pennagaram,58,MOORTHI. S,BSP,245,85.0,GEN,North
Pennagaram,58,DHARUMAN. K,IND,243,85.0,GEN,North
Pennagaram,58,MANI. K.G.,IND,212,85.0,GEN,North
Pennagaram,58,ANNADURAI. C,Desiya Makkal Sakthi Katchi,211,85.0,GEN,North
Pennagaram,58,ANNADURAI. V,IND,207,85.0,GEN,North
Pennagaram,58,MANI. P,IND,205,85.0,GEN,North
Pennagaram,58,SIVALINGAM. N,IND,142,85.0,GEN,North
Dharmapuri,59,VENKATESHWARAN.S.P.,PMK,105630,79.69,GEN,North
Dharmapuri,59,SUBRAMANI.P,DMK,78770,79.69,GEN,North
Dharmapuri,59,RAJENDRAN.D.K.,AMMK,11226,79.69,GEN,North
Dharmapuri,59,SENTHIL KUMAR (A) SENTHIL.A.,NTK,8700,79.69,GEN,North
Dharmapuri,59,JAYAVENKATESAN.S.K.,MNM,5083,79.69,GEN,North
Dharmapuri,59,NATARAJAN.M.,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,1897,79.69,GEN,North
Dharmapuri,59,None Of The Above,NOTA,1726,79.69,GEN,North
Dharmapuri,59,NATARAJAN.V.,IND,718,79.69,GEN,North
Dharmapuri,59,TAMILARASAN.S.,IND,654,79.69,GEN,North
Dharmapuri,59,PERUMAL.P,BSP,464,79.69,GEN,North
Dharmapuri,59,SUBRAMANI.K.,IND,364,79.69,GEN,North
Dharmapuri,59,MANIGANDAN.E.V.,IND,357,79.69,GEN,North
Dharmapuri,59,SUBRAMANI.T.,IND,304,79.69,GEN,North
Dharmapuri,59,SHANMUGAM.P.,IND,237,79.69,GEN,North
Dharmapuri,59,SAKTHIVEL.P.,Desiya Makkal Sakthi Katchi,213,79.69,GEN,North
Dharmapuri,59,RAMASAMY.T.,My India Party,208,79.69,GEN,North
Dharmapuri,59,MANI.L.,Dhesiya Makkal Kazhagam,194,79.69,GEN,North
Dharmapuri,59,PALANI.S.K.,IND,160,79.69,GEN,North
Dharmapuri,59,SUNDARAMOORTHY.M.,IND,127,79.69,GEN,North
Dharmapuri,59,VENKATESWARAN.B.,IND,117,79.69,GEN,North
Dharmapuri,59,SUBRAMANI.P.,IND,110,79.69,GEN,North
Dharmapuri,59,RAJENDRAN.K.,IND,74,79.69,GEN,North
Pappireddippatti,60,GOVINDASAMY.A,AIADMK,114507,82.15,GEN,North
Pappireddippatti,60,PRABHURAJASEKAR.M,DMK,77564,82.15,GEN,North
Pappireddippatti,60,PALANIAPPAN.P,AMMK,15863,82.15,GEN,North
Pappireddippatti,60,RAMESH.R,NTK,7573,82.15,GEN,North
Pappireddippatti,60,SRINIVASAN,MNM,1729,82.15,GEN,North
Pappireddippatti,60,None Of The Above,NOTA,1338,82.15,GEN,North
Pappireddippatti,60,GOPI.K,BSP,625,82.15,GEN,North
Pappireddippatti,60,GOVINDASAMY.R,IND,432,82.15,GEN,North
Pappireddippatti,60,MURUGAN.S,IND,300,82.15,GEN,North
Pappireddippatti,60,VEERAMANI.T,IND,257,82.15,GEN,North
Pappireddippatti,60,ANAND KUMAR.K,IND,187,82.15,GEN,North
Pappireddippatti,60,MURUGAN.R,Anaithu Makkal Puratchi Katchi,150,82.15,GEN,North
Pappireddippatti,60,ELANGO.S,IND,130,82.15,GEN,North
Pappireddippatti,60,MANIVANNAN.K,IND,123,82.15,GEN,North
Pappireddippatti,60,PALANIYAPPAN.R,IND,122,82.15,GEN,North
Pappireddippatti,60,SELVAM.P,IND,94,82.15,GEN,North
Harur,61,SAMPATHKUMAR.V,AIADMK,99061,78.46,SC,North
Harur,61,KUMAR.A,CPI(M),68699,78.46,SC,North
Harur,61,MURUGAN.R,AMMK,14327,78.46,SC,North
Harur,61,KEERTHANA.K,NTK,10950,78.46,SC,North
Harur,61,None Of The Above,NOTA,2249,78.46,SC,North
Harur,61,SIVAKUMAR.A,BSP,920,78.46,SC,North
Harur,61,MURUGAN.R,IND,521,78.46,SC,North
Harur,61,PARTHIPAN.P,IND,413,78.46,SC,North
Harur,61,KARUTHOVIYAM.P,My India Party,382,78.46,SC,North
Harur,61,SATHISKUMAR.S,IJK,282,78.46,SC,North
Harur,61,KUMAR.P,IND,265,78.46,SC,North
Harur,61,PALANI.C,IND,173,78.46,SC,North
Harur,61,CHINNASAMY.K,Dhesiya Makkal Kazhagam,169,78.46,SC,North
Harur,61,SARATHKUMAR.M,IND,154,78.46,SC,North
Chengam,62,GIRI.M.P,DMK,108081,80.66,SC,North
Chengam,62,NAINAKANNU.M.S,AIADMK,96511,80.66,SC,North
Chengam,62,VENNILA.S,NTK,12080,80.66,SC,North
Chengam,62,ANBU.S,DMDK,2769,80.66,SC,North
Chengam,62,None Of The Above,NOTA,1085,80.66,SC,North
Chengam,62,SUGANRAJ.S,IJK,828,80.66,SC,North
Chengam,62,SHANMUGAM.G,BSP,801,80.66,SC,North
Chengam,62,VIJAYACHANDRAN.G,IND,417,80.66,SC,North
Chengam,62,SELVARAJI.V,IND,381,80.66,SC,North
Chengam,62,DHINAKARAN.H,IND,200,80.66,SC,North
Chengam,62,BASKAR.S,New Generation People’s Party,174,80.66,SC,North
Chengam,62,SIVAPRAKASH.K,IND,173,80.66,SC,North
Chengam,62,SHARMA.S,IND,127,80.66,SC,North
Chengam,62,ARUNKUMAR.M,IND,112,80.66,SC,North
Chengam,62,ANBAZHAGAN.P.G,IND,112,80.66,SC,North
Chengam,62,SIVAKUMAR.J,IND,99,80.66,SC,North
Tiruvannamalai,63,E V VELU,DMK,137876,71.69,GEN,North
Tiruvannamalai,63,S THANIGAIVEL,BJP,43203,71.69,GEN,North
Tiruvannamalai,63,J KAMALAKKANNAN,NTK,13995,71.69,GEN,North
Tiruvannamalai,63,ARUL R,MNM,6246,71.69,GEN,North
Tiruvannamalai,63,None Of The Above,NOTA,2194,71.69,GEN,North
Tiruvannamalai,63,A G PANCHATCHARAM,AMMK,2108,71.69,GEN,North
Tiruvannamalai,63,J JAMEEL BASHA,IND,780,71.69,GEN,North
Tiruvannamalai,63,J AGNI SELVARASU,Naadaalum Makkal Katchi,548,71.69,GEN,North
Tiruvannamalai,63,KOTHANDAPANI,BSP,466,71.69,GEN,North
Tiruvannamalai,63,K VINAYAGAM,IND,430,71.69,GEN,North
Tiruvannamalai,63,R G VASUDEVAN,IND,291,71.69,GEN,North
Tiruvannamalai,63,N PALANI,IND,164,71.69,GEN,North
Tiruvannamalai,63,D MANIMARAN,IND,157,71.69,GEN,North
Tiruvannamalai,63,A NAKKEERAN,IND,146,71.69,GEN,North
Tiruvannamalai,63,S K SELVAM,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,131,71.69,GEN,North
Tiruvannamalai,63,R CHANDRAKANTH PILLAI,New Generation People’s Party,101,71.69,GEN,North
Kilpennathur,64,K.Pitchandi,DMK,104675,79.35,GEN,North
Kilpennathur,64,K.Selvakumar,PMK,77888,79.35,GEN,North
Kilpennathur,64,Dr.R.Rameshbabu,NTK,11541,79.35,GEN,North
Kilpennathur,64,P.Kathikeyan,AMMK,2191,79.35,GEN,North
Kilpennathur,64,V.Suganantham,MNM,1437,79.35,GEN,North
Kilpennathur,64,None Of The Above,NOTA,961,79.35,GEN,North
Kilpennathur,64,M.Murugan,IND,844,79.35,GEN,North
Kilpennathur,64,SubashChandrabose,BSP,598,79.35,GEN,North
Kilpennathur,64,S.Sasikumar,IND,597,79.35,GEN,North
Kilpennathur,64,A.R.Elumalai,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,504,79.35,GEN,North
Kilpennathur,64,M.Sampathraj,IND,417,79.35,GEN,North
Kilpennathur,64,Sakthivel,IND,408,79.35,GEN,North
Kilpennathur,64,N.Thangaraj,Makkal Munnetra Peravai,317,79.35,GEN,North
Kilpennathur,64,M.Dinakaran,IND,271,79.35,GEN,North
Kilpennathur,64,Farmer Jayaraman,Anaithu Makkal Arasiyal Katchi,239,79.35,GEN,North
Kilpennathur,64,P.Ganeshraja,IND,197,79.35,GEN,North
Kilpennathur,64,M.Athiyaman,IND,185,79.35,GEN,North
Kilpennathur,64,C.Jothi,IND,152,79.35,GEN,North
Kilpennathur,64,A.Venkatesan,RPI(A),147,79.35,GEN,North
Kilpennathur,64,G.krishnamurthy,IND,125,79.35,GEN,North
Kilpennathur,64,M.Mohanraja,IND,117,79.35,GEN,North
Kilpennathur,64,Lourdammal,IND,75,79.35,GEN,North
Kalasapakkam,65,Saravanan.P.S.T,DMK,94134,80.36,GEN,North
Kalasapakkam,65,Panneerselvam.V,AIADMK,84912,80.36,GEN,North
Kalasapakkam,65,Balaji.E,NTK,8822,80.36,GEN,North
Kalasapakkam,65,Nehru.M,DMDK,2756,80.36,GEN,North
Kalasapakkam,65,None Of The Above,NOTA,1593,80.36,GEN,North
Kalasapakkam,65,Tirunavukarasu.M,IND,765,80.36,GEN,North
Kalasapakkam,65,Panneerselvam.S,IND,713,80.36,GEN,North
Kalasapakkam,65,Rajkumar.E,BSP,632,80.36,GEN,North
Kalasapakkam,65,Rajamani.K,IND,450,80.36,GEN,North
Kalasapakkam,65,Amutha.G,IND,382,80.36,GEN,North
Kalasapakkam,65,Jagannathan.R,IND,322,80.36,GEN,North
Kalasapakkam,65,Saravanan.K,IND,250,80.36,GEN,North
Kalasapakkam,65,Rajendran.M.S,IJK,244,80.36,GEN,North
Kalasapakkam,65,Panneerselvam.V,IND,239,80.36,GEN,North
Kalasapakkam,65,Kalyanasundaram.A,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,128,80.36,GEN,North
Kalasapakkam,65,Sampath.R.V,Anna Dravidar Kazhagam,92,80.36,GEN,North
Polur,66,Agri KRISHNAMURTHY. S S,AIADMK,97732,82.33,GEN,North
Polur,66,SEKARAN. K.V,DMK,88007,82.33,GEN,North
Polur,66,LAVANYA. L,NTK,10197,82.33,GEN,North
Polur,66,KALAVATHI. G,MNM,1580,82.33,GEN,North
Polur,66,DAKSNAMOORTHY. R,IND,1188,82.33,GEN,North
Polur,66,None Of The Above,NOTA,1144,82.33,GEN,North
Polur,66,VIJAYAKUMAR. C,AMMK,656,82.33,GEN,North
Polur,66,Ezhilarasu. M,BSP,604,82.33,GEN,North
Polur,66,MURUGESAN. D,IND,278,82.33,GEN,North
Polur,66,SIVA. A,IND,216,82.33,GEN,North
Polur,66,Shanmugasundaram. E,IND,90,82.33,GEN,North
Polur,66,SATHIYARAJ. P,IND,87,82.33,GEN,North
Polur,66,CHIDAMBARAM. V,IND,72,82.33,GEN,North
Polur,66,KALAIMANI. S,IND,56,82.33,GEN,North
Polur,66,GANESAN. C,IND,55,82.33,GEN,North
Polur,66,KRISHNAMURTHI. K,IND,50,82.33,GEN,North
Arani,67,S.RAMACHANDRAN,AIADMK,102961,79.84,GEN,North
Arani,67,S.S.ANBALAGAN,DMK,99833,79.84,GEN,North
Arani,67,D.PRAKALATHA,NTK,10491,79.84,GEN,North
Arani,67,V.MANIGANDAN,MNM,2213,79.84,GEN,North
Arani,67,G.BASKARAN,DMDK,1861,79.84,GEN,North
Arani,67,None Of The Above,NOTA,1690,79.84,GEN,North
Arani,67,S.THANIGAIVEL,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,509,79.84,GEN,North
Arani,67,N.KARTHIKEYAN,IND,397,79.84,GEN,North
Arani,67,K.ANBU,BSP,332,79.84,GEN,North
Arani,67,R.DHAKSHANAMOORTHY,IND,313,79.84,GEN,North
Arani,67,A.ARUNKUMAR,IND,222,79.84,GEN,North
Arani,67,S.SAKTHIVEL,IND,178,79.84,GEN,North
Arani,67,S.RAMACHANDRAN,IND,134,79.84,GEN,North
Arani,67,S.MURALI,IND,133,79.84,GEN,North
Arani,67,M.ANBALAGAN,IND,80,79.84,GEN,North
Arani,67,K.ANBALAGAN,IND,75,79.84,GEN,North
Cheyyar,68,JOTHI. O,DMK,102460,81.69,GEN,North
Cheyyar,68,DUSI. K. MOHAN,AIADMK,90189,81.69,GEN,North
Cheyyar,68,BHEEMAN. G,NTK,12192,81.69,GEN,North
Cheyyar,68,MAYILVAGANAN. T,MNM,2429,81.69,GEN,North
Cheyyar,68,None Of The Above,NOTA,1895,81.69,GEN,North
Cheyyar,68,VARADHARAJAN. M. K,AMMK,1760,81.69,GEN,North
Cheyyar,68,SURESH BABU. T,IND,733,81.69,GEN,North
Cheyyar,68,VIJAYAKANTH. S,BSP,731,81.69,GEN,North
Cheyyar,68,KUTTIMANI. S,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,504,81.69,GEN,North
Cheyyar,68,UDHAYAKUMAR. M,IND,290,81.69,GEN,North
Cheyyar,68,ANANDASEKARAN. C,IND,288,81.69,GEN,North
Cheyyar,68,NIRMALA. V,IND,282,81.69,GEN,North
Cheyyar,68,MANIKANDAN. M,Ganasangam Party of India,262,81.69,GEN,North
Cheyyar,68,NADARAJAN. B,New Generation People’s Party,190,81.69,GEN,North
Cheyyar,68,MARYVOILET. J,Desiya Sirupanmayinar Makkal Iyakkam,143,81.69,GEN,North
Cheyyar,68,VENKATESAN .V,Anaithindia Samudaya Munnetra Kazhagam,112,81.69,GEN,North
Vandavasi,69,Ambethkumar S,DMK,102064,76.81,SC,North
Vandavasi,69,Murali S,PMK,66111,76.81,SC,North
Vandavasi,69,Prabavathi G,NTK,9284,76.81,SC,North
Vandavasi,69,None Of The Above,NOTA,1769,76.81,SC,North
Vandavasi,69,Venkatesan P,AMMK,1728,76.81,SC,North
Vandavasi,69,Suresh S,MNM,1692,76.81,SC,North
Vandavasi,69,Manikandan K,IND,1264,76.81,SC,North
Vandavasi,69,Arjunan M,BSP,607,76.81,SC,North
Vandavasi,69,Vignesh S,IND,546,76.81,SC,North
Vandavasi,69,Murali C,IND,407,76.81,SC,North
Vandavasi,69,Durai B,Ganasangam Party of India,363,76.81,SC,North
Vandavasi,69,Muthuperumal K,IND,139,76.81,SC,North
Gingee,70,MASTHAN K S,DMK,109625,78.21,GEN,Central
Gingee,70,RAJENDIRAN P,PMK,73822,78.21,GEN,Central
Gingee,70,SUGUMAR AP,NTK,9920,78.21,GEN,Central
Gingee,70,GOWTHAM SAGAR A,AMMK,4811,78.21,GEN,Central
Gingee,70,None Of The Above,NOTA,2279,78.21,GEN,Central
Gingee,70,SRIPATHI P,MNM,2151,78.21,GEN,Central
Gingee,70,GOPI S,IND,1914,78.21,GEN,Central
Gingee,70,JAGAJANANDAM  R,BSP,637,78.21,GEN,Central
Gingee,70,VARTHAMANAN B,IND,559,78.21,GEN,Central
Gingee,70,ELUMALAI N A,Anna Dravidar Kazhagam,410,78.21,GEN,Central
Gingee,70,MARIYAPPAN S,IND,246,78.21,GEN,Central
Gingee,70,KIRUBAKARAN T,IND,181,78.21,GEN,Central
Gingee,70,SAHEERA,IND,168,78.21,GEN,Central
Gingee,70,SENJIRAJA KNK,IND,157,78.21,GEN,Central
Mailam,71,SIVAKUMAR C,PMK,81044,79.5,GEN,Central
Mailam,71,Dr. MASILAMANI R,DMK,78814,79.5,GEN,Central
Mailam,71,UMAMAHESWARI L,NTK,8340,79.5,GEN,Central
Mailam,71,SUNDARESAN A,DMDK,3921,79.5,GEN,Central
Mailam,71,None Of The Above,NOTA,884,79.5,GEN,Central
Mailam,71,MASILAMANI V,IND,807,79.5,GEN,Central
Mailam,71,DURAI M,BSP,648,79.5,GEN,Central
Mailam,71,RAJASEKAR M,IND,647,79.5,GEN,Central
Mailam,71,MASILAMANI V,IND,524,79.5,GEN,Central
Mailam,71,MANAVALAN A,Anna MGR Dravida Makkal Kalgam,377,79.5,GEN,Central
Mailam,71,SRIDHAR D,IND,344,79.5,GEN,Central
Mailam,71,CHANDRA PRAKASH R,IND,249,79.5,GEN,Central
Mailam,71,SATHIYARAJ S,IND,144,79.5,GEN,Central
